NO,순번,표준단어명,표준단어 영문약어명,표준단어 영문명,표준단어 설명,형식단어여부,표준도메인분류명,이음동의어 목록,금칙어 목록,변경구분,변경일자,범정부표준준수 여부,범정부표준적용 차수,최종수정일시
2005,2005,전처리,PREPROCESSING,PRCSG,기본 반응이나 가공에 앞서 화학적， 물리적 작용을 가하여 예비적으로 하는 처리,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2006,2006,기별,PERIOD,PRD,기(期. 일정한 기간씩 되풀이되는 하나하나의 과정) 마다의,N,,기간， 기간별,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2007,2007,제품,PRODUCT,PRDCT,製品. 원료를 써서 물건을 만듦. 또는 그렇게 만들어 낸 물품,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
2008,2008,생산,PRODUCTION,PRDCTN,生産. 인간이 생활하는 데 필요한 각종 물건을 만들어 냄,N,,,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
2009,2009,전일,PREVIOUS DAY(YESTERDAY),PRDD,일정한 날을 기준으로 한 바로 앞의 날,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2010,2010,생산품,PRODUCTS,PRDS,생산되는 물품,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2011,2011,생산자,PRODUCTION PERSON,PRDTR,필요한 물건을 만드는 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2012,2012,머리말,PREFACE,PRFC,책이나 논문 따위의 첫 머리에 내용이나 목적 따위를 간략하게 적은 글,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2013,2013,프로필,PROFILE,PRFL,인물의 약력,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2014,2014,실적,PERFORMANCE RECORD,PRFMNC,實績. 실제로 이룬 업적이나 공적,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2015,2015,선호도,PREFERANCE,PRFR,여럿 가운데서 어떤 대상을 특별히 가려서 더 좋아하는 정도,N,,선호,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2016,2016,접두어,PREFIX,PRFX,接頭語 어근(語根) 앞에 붙어서 그 뜻을 제한하는 접사,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2017,2017,진도,PROGRESS DEGREE,PRGD,[進度]일이 진행되는 속도나 정도,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2018,2018,프로그램,PROGRAM,PRGRM,어떤 문제를 해결하기 위하여 그 처리 방법과 순서를 기술하여 컴퓨터에 주어지는 일련의 명령문 집합체,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
2019,2019,진척,PROGRESS,PRGRS,일이 목적한 방향대로 진행되어 감,N,,진행， 진행중,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2020,2020,선적항,PORT OF REGISTRY,PRGTR,선박소유자가 선박의 등기·등록을 위하여 정하는 항구,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2021,2021,금지,PROHIBITION,PRHB,禁止 하지 못하게 함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2022,2022,금칙어,PROHIBITED WORDS,PRHW,불건전성 따위의 이유로 사용하지 못하게 하는 말,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2023,2023,주차,PARKING,PRK,차를 일정한 곳에 세워 둠,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2024,2024,주차장,PARKING LOT,PRKLT,차를 세워 두도록 마련한 곳,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2025,2025,홍보,PUBLIC RELATIONS,PRL,널리 알림 또는 그 소식이나 보도,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2026,2026,증식,PROLIFERATION,PRLRT,늘어서 많아짐. 또는 늘려서 많게 함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2027,2027,허가,PERMISSION,PRMSN,許可. 행동이나 일을 하도록 허용함， 법령에 의하여 일반적으로 금지되어 있는 행위를 행정기관이 특정한 경우에 해제하고 적법하게 이를 행할 수 있게 하는 일,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
2028,2028,원시,PRIMITIVE,PRMTV,처음 시작된 그대로 있어 발달하지 아니한 상태,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2029,2029,모,PARENT,PRN,주로 특정 대상간의 상/하 관계를 표현하기 위해 부모-자식 간의 관계 중， "부모"를 "모"로 표현함,N,,부모,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2030,2030,예정,PREARRANGEMENT,PRNMNT,豫定. 앞으로 일어날 일이나 해야 할 일을 미리 정하거나 생각함,N,,,,수정,2021-07-14 00:00:00.0,Y,3차,20241111 13:35:04
2031,2031,정원,PRESCRIBED NUMBER OF EMPLOYEE,PRNO,규정에 의하여 미리 정해진 인원수,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2032,2032,인쇄,PRINT,PRNT,문자·그림 등이 그려져 있는 판면(版面)에 잉크를 묻히고， 종이·천 등에 박아 많은 복제(複製)를 만드는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2033,2033,절차,PROCEDURE,PROC,일을 하는 데 거쳐야 하는 일정한 차례와 방법,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2034,2034,절차서,PROCEDURE DOCUMENT,PROCD,작업 등에 필요한 사항을 정하여 업무 수행에 지침이 되도록 하는 문서,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2035,2035,단백질,PROTEIN,PROTN,아미노산이 펩타이드 결합을 하여 생긴 여러 개의 아미노산으로 이루어진 고분자 화합물,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2036,2036,실증,PROVE,PROV,실물이나 사실에 근거하여 증명함,N,,입증,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2037,2037,구비,PREPARE,PRPR,있어야 할 것을 빠짐없이 모두 갖춤,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2038,2038,구비서류,PREPARED DOCUMENT,PRPRD,빠짐없이 갖추어야 하는 서류,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2039,2039,목적,PURPOSE,PRPS,目的. 실현하려고 하는 일이나 나아가는 방향,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
2040,2040,제안서,PROPOSAL DOCUMENT,PRPSD,시스템을 개발하기에 앞서 고객에게 제출하는 시스템 설계 제안 문서,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2041,2041,제안,PROPOSAL,PRPSL,안이나 의견으로 내놓음. 또는 그 안이나 의견,N,,발의,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2042,2042,재산,PROPERTY,PRPT,재화와 자산을 통틀어 이르는 말,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2043,2043,성질,PROPERTIES,PRPTS,사물이나 현상이 가지고 있는 고유의 특성,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2044,2044,우선권,PRIORITY,PRRTY,1. 우선적으로 적용되는 권리
2. 특허출원에서 제1국에 출원한 후 일정기간 내에 제2국에 출원하면 특허권 설정에 필요한 일정요건에 대해서 제1국에 출원한 것으로 적용되는 권리,N,,우선,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2045,2045,공정,PROCESS,PRS,일이 진척되는 과정이나 정도,N,,프로세스,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2046,2046,처방,PRESCRIPTION,PRSC,1. 결함이나 문제를 해결하기 위해 제시된 적절한 방법
2. 병을 치료하기 위해 제시된 방법,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2047,2047,열람,PERUSAL,PRSL,閱覽. 책이나 문서 등을 죽 훑어보거나 조사하면서 봄,N,,,,제정,2023-09-06 00:00:00.0,Y,3차,20241111 13:35:04
2048,2048,인물,PERSONAGE,PRSNG,생김새나 됨됨이로 본 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2049,2049,성격,PERSONALITY,PRSNL,개인이 가지고 있는 고유의 성질이나 품성， 어떤 사물이나 현상의 본질이나 본성,N,,인성,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2050,2050,발표,PRESENTATION,PRSNTN,發表. 어떤 사실이나 결과， 작품 등을 세상에 널리 드러내어 알림,N,,,,제정,2023-09-06 00:00:00.0,Y,3차,20241111 13:35:04
2051,2051,보호종,PROTECTED SPECIES,PRSPCS,멸종위기에 처해 있거나 극소수의 개체만이 남아 있어 특별한 보호가 필요한 생물의 종류,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2052,2052,전망,PROSPECT,PRSPT,展望 멀리 바라봄,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2053,2053,현상,PRESENT STATE,PRST,인간이 지각할 수 있는， 사물의 모양과 상태,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2054,2054,압력,PRESSURE,PRSUR,1. 두 물체가 접촉면을 경계로 하여 서로 그 면에 수직으로 누르는 단위 면적에서의 힘의 단위
2. 권력이나 세력에 의하여 타인을 자기 의지에 따르게 하는 힘,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2055,2055,보존,PRESERVATION,PRSV,保存 잘 지니어 상하거나 없어지거나 하지 않도록 함[법률정의] (정부투자기관문서규정) 보관이 끝난 문서를 소정의 보존기간에 따라 관리하는 것.(검찰보존사무규칙) 완결된 사건기록(진정?내사 사건기록을 포함한다) 및 재판서를 이 규칙에 의한 보존기간에 따라 관리함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2056,2056,특정,PARTICULAR,PRTC,特定 특별히 지정함， 또는 그 지정,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2057,2057,프로토콜,PROTOCOL,PRTCL,표준화된 통신규약으로서 네트웍 기능을 효율적으로 발휘하기 위한 협정. 즉， 통신을 원하는 두 개체간에 무엇을， 어떻게， 언제 통신할 것인가를 서로 약속한 규약,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2058,2058,명세,PARTICULARS,PRTCLR,물품이나 금액 따위의 분명하고 자세한 내용,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2059,2059,보호자,PROTECTOR,PRTCR,保護者. 어떤 사람을 보호할 책임이 있는 사람,N,,,,제정,2023-09-06 00:00:00.0,Y,3차,20241111 13:35:04
2060,2060,막이,PROTECTION,PRTCT,문짝의 아래나 위에 건너지른 뼈대를 통틀어 이르는 말,N,,방호， 보호,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2061,2061,생식,PROCREATION,PRTN,생물이 자기와 닮은 개체를 만들어 종족을 유지함. 또는 그런 현상,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2062,2062,적절성,PERTINENCE,PRTNC,꼭 알맞은 성질,N,,적절,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2063,2063,참여자,PARTICIPANT,PRTPNT,參與者. 어떤 일에 끼어들어 관계하는 사람,N,,참가자,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
2064,2064,참여,PARTICIPATION,PRTPTN,어떤 일에 끼어들어 관계함,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2065,2065,부품,(COMPONENT) PARTS,PRTS,기계따위의 어떤 부분에 쓰는 물품,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2066,2066,분할,PARTITION,PRTTN,分割. 나누어 쪼갬,N,,,,수정,2021-07-14 00:00:00.0,Y,4차,20241111 13:35:04
2067,2067,방지,PREVENTION,PRV,어떤 일이나 현상이 일어나지 못하게 막음,N,,예방,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2068,2068,개인정보,PRIVACY,PRVC,個人情報. 살아 있는 개인에 관한 정보로서 성명， 주민등록번호 및 영상 등을 통하여 개인을 알아볼 수 있는 정보(해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아볼 수 있는 것을 포함한다),N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
2069,2069,제공자,PROVIDE PERSON,PRVDR,필요로 하는 것을 주어서 도움이 되도록 힘쓴 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2070,2070,방지시설,PREVENTION FACILITY,PRVFCT,배출 시설에서 나오는 오염 물질의 양이 배출 허용 기준 이하가 되도록 설치한 시설,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2071,2071,도립,PROVINCIAL,PRVN,공공의 이익을 위하여 도(道)의 예산으로 세우고 관리함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2072,2072,비공개,PRIVATE (NOT OPEN TO PUBLIC),PRVT,非公開. 어떤 사실이나 사물， 내용 따위를 남에게 알리거나 보이지 아니함,N,,비공개용,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2073,2073,민간,PRIVATE (NON-OFFICIAL),PRVTO,民間 관청이나 정부 기관에 속하지 않음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2074,2074,미리보기,PREVIEW,PRVW,사용자가 파일을 열기 전이나 편집하고 있는 텍스트를 인쇄하기 전에 화면을 통해 미리 내용을 확인할 수 있도록 하는 기능,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2075,2075,실무자,PRACTICAL WORKER,PRWKR,실제로 사무를 맡아 처리하는 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2076,2076,대리,(EXECUTE AS) PROXY,PRXY,남을 대신하여 일을 처리함,N,,대행,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2077,2077,전년,PREVIOUS YEAR,PRYY,이해의 바로 앞의 해. 지나간 해,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2078,2078,포상,PRIZE,PRZ,칭찬하고 장려하여 상을 줌,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2079,2079,1인,1 PERSON,PS1,1명의 사람,N,,1인당,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2080,2080,타계,PASS AWAY,PSAW,인간계를 떠나서 다른 세계로 간다는 뜻으로， 사람의 죽음 특히 귀인(貴人)의 죽음을 이르는 말,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2081,2081,가능,POSSIBILITY,PSBLTY,할 수 있거나， 될 수 있음,N,,가능성,,수정,2021-07-14 00:00:00.0,Y,3차,20241111 13:35:04
2082,2082,예정지,PLANNED SITE,PSITE,미리 정하여 놓은 곳,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2083,2083,생리학적,PHYSIOLOGIC,PSLG,신체의 조직이나 기능을 연구하는 학문에 관계되는 것,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2084,2084,보유,POSSESSION,PSN,가지고 있거나 간직하고 있음,N,,소유， 보유분,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2085,2085,체육용지,PHYSICAL SITE,PSS,국민의 건강 증진과 여가 선용에 이용할 목적으로， 일정한 구역 내에 체육 활동에 적합한 시설과 형태를 갖춘 종합운동장. 실내체육관 · 야구장 · 골프장 · 스키장 · 승마장 · 경륜장 등 체육시설의 토지와 이에 접속된 부속 시설물의 부지를 말한다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2086,2086,지문,(TEXT) PASSAGE,PSSG,주어진 내용의 글이나 구절,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2087,2087,게시물,(BULLETIN) POST,PST,揭示物. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2088,2088,게시글,POST ARTICLE,PSTAT,여러 사람에게 알리기 위하여 인터넷 게시판에 올려 두루 보게 한 글,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2089,2089,후처리,POST-CLEANING,PSTC,일이 벌어진 뒤나 끝난 뒤끝을 처리하는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2090,2090,게시,(BULLETIN) POSTING,PSTG,揭示. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 함. 또는 그런 물건,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2091,2091,입지,POSITION,PSTN,인간이 경제활동을 하기 위하여 선택하는 장소,N,,위치， 포지션,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2092,2092,목초,PASTURAGE,PSTRG,말이나 소에게 먹이는 풀,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2093,2093,비밀번호,PASSWORD,PSWD,秘密番號. 은행이나 컴퓨터 시스템 따위에서， 보안을 위하여 미리 약정하여 쓰는 개인 고유의 문자열,N,,,,수정,2022-09-23 00:00:00.0,Y,4차,20241111 13:35:04
2094,2094,계통,POWER SYSTEM/CIRCUIT,PSYS,일정한 체계에 따라 서로 관련되어 있는 부분들의 통일적 조직,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2095,2095,순찰,PATROL,PTL,巡察 여러 곳을 돌아다니며 사정을 살핌,N,,순시,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2096,2096,순찰자,PATROLLER,PTLR,여러 곳을 돌아다니며 사정을 살피는 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2097,2097,정형화,PATTERNING,PTNG,일정한 형식이나 틀로 고정됨,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2098,2098,상대방,PARTNER,PTNR,어떤 일이나 말을 할 때 짝을 이루는 사람,N,,파트너,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2099,2099,지적,POINT OUT,PTOT,잘못이나 허물 따위를 드러내어 꼭 집어 말함. 꼭 집어서 가리킴,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2100,2100,식물플랑크톤,PHYTOPLANKTON,PTPKTN,물속에서 부유 생활을 하고 있는 단세포 조류. 또는 다세포성 조류,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2101,2101,과망간산칼륨,POTASSIUM PERMANGANATE,PTPM,자주색의 기둥 모양 결정. 열분해하거나 감염기성 용액을 첨가하면 산소를 낸다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2102,2102,주유소용지,PETROL STATION SITE,PTS,석유 등의 판매를 위하여 일정한 설비를 갖춘 시설물의 부지， 저유소 및 원유저장소의 부지 등,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2103,2103,패턴,PATTERN,PTTN,일정한 형태나 유형이나 양식,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2104,2104,공공,PUBLIC,PUB,국가나 사회의 구성원에게 두루 관계되는 것,N,,공적， 공중,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2105,2105,출판사,PUBLISHING COMPANY,PUBCO,出版社 서적이나 회화 따위를 인쇄하여 세상에 내놓는 사업을 하는 회사
(출판및인쇄진흥법) 출판을 업으로 하는 인적·물적 시설,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2106,2106,출판,PUBLISHING,PUBLS,서적이나 회화 따위를 인쇄하여 세상에 내놓음,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2107,2107,하역항,PORT OF UNLOADING,PULDG,짐을 싣고 내리는 항구 또는 공항,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2108,2108,펌프,PUMP,PUMP,압력 작용으로 액체·기체를 빨아올리거나 이동시키는 기계,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2109,2109,순도,PURITY DEGREE,PURDG,純度 물질의 순수한 정도,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2110,2110,순수,PURE,PURE,다른 것이 조금도 섞이지 않음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2111,2111,기출,PREVIOUS EXAMINATION,PVEX,이미 출제되었던,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2112,2112,방재,PREVENTION OF DISASTERS,PVOD,폭풍， 홍수， 지진， 화재 따위의 재해를 막는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2113,2113,제공,PROVISION,PVSN,提供. 무엇을 내주거나 갖다 바침,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
2114,2114,장애인,PEOPLE WITH DISABILITIES,PWDBS,障?人. 신체의 일부에 장애가 있거나 정신 능력이 원활하지 못해 일상생활이나 사회생활에서 어려움이 있는 사람,N,,,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
2115,2115,발전소,POWER PLANT,PWPL,전기를 일으키는 시설을 갖춘 곳,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
2116,2116,전력,(ELECTRIC) POWER,PWR,전류가 단위 시간에 하는 일. 또는 단위 시간에 사용되는 에너지의 양.
전압과 전류의 곱으로 나타냄,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2117,2117,픽셀,PIXEL,PXL,주소화될 수 있는 화면의 가장 작은 단위. 작은 점의 행과 열로 이루어져 있는 화면의 작은 점 각각을 이르는 말이다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2118,2118,입금자,PAYER,PYR,入金者. 은행 등지에 돈을 들여놓는 사람,N,,,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
2119,2119,QA,QUALITY ASSURANCE,QA,제품의 품질이 일정 수준에 있음을 보증하는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2120,2120,QC,QUALITY CONTROL,QC,일정한 조건 아래에 최저 비용으로써 가급적 최량 품질의 제품을 획득할 수 있또록 생산 활동을 통계 숫자에 의하여서 관리·통제하는 경영 관리 방식,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2121,2121,Q컬럼,Q COLUMN,QCOL,(테이블·엑셀 등) Q컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2122,2122,사분면,QUADRANT,QDRNT,한 평면을 직교하는 두 직선으로 나눈 네 부분 중의 한 평면,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2123,2123,문항,QUESTION ITEM,QITEM,問項. 문제의 항목,N,,문항당,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
2124,2124,자격,QUALIFICATION,QLFC,資格. 일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
2125,2125,품질,QUALITY,QLT,1. 물건의 성질과 바탕
2. 타고난 성질의 높고 낮음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2126,2126,퀵메뉴,QUICK MENU,QMENU,메뉴의 이동을 빠르게 돕기위한 메뉴,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2127,2127,량,QUANTITY,QNT,분량이나 수량의 뜻을 나타내는 말,Y,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2128,2128,정량,QUANTITIVE,QNTV,양을 헤아려 정하는. 또는 그런 것,N,,정량적,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2129,2129,QR코드,QR CODE,QRCD,흑백의 격자무늬 그림으로 여러 가지 정보를 나타내는 이차원 바코드,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2130,2130,격리,QUARANTINE,QRNT,1. 다른 것과 통하지 못하게 사이를 막거나 떼어 놓음
2. 전염병 환자나 면역성이 없는 환자를 다른 곳으로 떼어 놓음
3. 지리적， 생태적， 유전적， 형태적 요인 따위로 같은 종의 생물 개체 사이에 교배가 일어나지 않게 되는 현상,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2131,2131,쿼리,QUERY,QRY,검색하다는 의미지만， 일반적으로는 DBMS에서 데이터를 꺼내거나 검색， 수정， 삭제 등의 조작을 하기 위한 언어인 SQL(Structured Query Language)을 의미함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2132,2132,질문,QUESTION,QSTN,質問. 알고자 하는 바를 얻기 위해 물음,N,,질의,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
2133,2133,질의자,QUESTION PERSON,QSTNR,의심나거나 모르는 점을 묻는 자,N,,질문자,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2134,2134,쿼터,QUOTA,QTA,여럿으로 나누어 가지는 각 부분,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2135,2135,퀴즈,QUIZ,QUIZ,어떤 질문에 대한 답을 알아맞히는 놀이， 또는 그런 질문을 통틀어 이르는 말,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2136,2136,반응,REACTION,RACT,자극에 대응하여 어떤 현상이 일어남. 또는 그 현상,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2137,2137,강우,RAIN,RAIN,降雨 비가 내림. 또는 그 비,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2138,2138,재신청,(MAKE AN APPLICATION) REAPPLY,RAPL,한 번 신청하였던 것을 다시 신청함,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2139,2139,책임자,RESPONSIBLE PERSON,RBPRSN,責任者. 어떤 일에 대하여 책임을 지고 있거나 책임을 져야 할 위치에 있는 사람,N,,,,제정,2023-09-06 00:00:00.0,Y,3차,20241111 13:35:04
2140,2140,벼,RICE,RC,볏과의 한해살이 풀. 줄기는 높이가 1~1.5미터이고 속이 비었으며， 마디가 있다. 잎은 어긋나고 긴 선 모양에 평행맥이 있고 엽초와 잎사귀로 구분된다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2141,2141,모집,RECRUIT OR COLLECT,RCCL,사람이나 작품， 물품 따위를 일정한 조건 아래 널리 알려 뽑아 모음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2142,2142,매립지,RECLAIMED LAND,RCDLND,낮은 땅을 돌이나 흙 따위로 메워 돋운 땅,N,,,,수정,2021-07-14 00:00:00.0,Y,4차,20241111 13:35:04
2143,2143,답,RICE FIELD,RCFLD,물을 대어 주로 벼를 심어 가꾸는 땅,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2144,2144,매립,RECLAMATION,RCLM,우묵한 땅이나 하천， 바다 등을 돌이나 흙 따위로 채움,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2145,2145,권유자,RECOMMENDER,RCMDR,권하여 타이르는 자,N,,추천인， 추천자,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2146,2146,권유,RECOMMENDATION,RCMDTN,권하여 타이름,N,,추천,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
2147,2147,재충전,RECHARGING,RCNG,축전지나 축전기에 전기 에너지를 다시 축적하는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
