표준단어명,표준단어 설명
사고지점좌표Y축값,사고가 일어난 지점 좌표의 Y축 값
사고좌표Y축값,사고 좌표의 Y축 값
출력좌표Y축값,출력장치를 통하여 표출한 좌표의 Y축 값
사용권한여부,어떠한 일에 일정한 목적이나 기능에 맞게 사용할 수 있는 권한 여부
기관순서,사회생활의 영역에서 일정한 역할과 목적을 위하여 설치한 기구나 조직 순서
발송상태여부,물건， 편지， 서류 따위를 우편이나 운송 수단을 이용하여 보낸 상태 여부
발송일련번호,물건， 편지， 서류 따위를 우편이나 운송 수단을 이용하여 보낸 일련번호
공통코드약어명,어떤의견이나 목표 따위가 두루 해당되고 관계된 코드 약어 이름
생성주기값,사물이 생겨나는 주기 값
자료카운터사용여부,자료 건수가 제대로 수집됐는지 여부
자료관측일시,연구나 조사 따위의 바탕이 되는 재료의 관측 날짜와 시간 (형태 : YYYYMMDDHHMISS)
10분단위여부,10분 단위인 여부
저수지수위값,물을 모아 두기 위하여 하천이나 골짜기를 막아 만든 큰 못의 수위 값
예년저수지수위값,보통의 해의 저수지 수위 값
저수지최고수위값,물을 모아 두기 위하여 하천이나 골짜기를 막아 만든 큰 못의 최고 수위 값
최고수위측정일자,가장 높은 수위 측정 일자
저수지최저수위값,물을 모아 두기 위하여 하천이나 골짜기를 막아 만든 큰 못의 최저 수위 값
최저수위측정일자,가장 낮은 수위 측정 일자
기타1댐유입원명,첫번째 댐의 기타 유입원 명
기타2댐유입원명,두번째 댐의 기타 유입원 명
발전방류량,전기를 일으킬 때의 방류 량
기타발전방류량,그 밖의 또 다른 발전 방류 량
기타1방류량용도명,첫번째 기타 방류량의 용도 명
기타2방류량용도명,두번째 기타 방류량의 용도 명
기타3방류량용도명,세번째 기타 방류량의 용도 명
배출구방류량,안에서 밖으로 밀어 내보내는 구멍의 방류 량
첫번째취수량,첫번째 취수량
두번째취수량,두번째 취수량
세번째취수량,세번째 취수량
공용량,함께 쓰는 양
7시이전강우량,7시 이전 까지 내린 비의 양
전년발전방류량,이해의 바로 앞의 해. 지나간 해의 발전 방류 량
전년기타발전방류량,전년도 기타 발전 방류 량
전년기타1발전방류량,이전년도의 전기를 발생시키기 위해서 댐이나 보에 모아 두었던 물을 흘려보낼때의 첫번째 기타 양
전년기타2발전방류량,이전년도의 전기를 발생시키기 위해서 댐이나 보에 모아 두었던 물을 흘려보낼때의 두번째 기타 양
전년기타3발전방류량,이전년도의 전기를 발생시키기 위해서 댐이나 보에 모아 두었던 물을 흘려보낼때의 세번째 기타 양
전년배출구방류량,전년도 배출구 방류 량
전년첫번째취수량,이전년도 첫번? 취수량
전년두번째취수량,이전년도 두번? 취수량
전년세번째취수량,이전년도 세번? 취수량
예년발전방류량,보통의 해의 발전 방류 량
예년기타발전방류량,보통의 해의 기타 발전 방류 량
예년첫번째기타방류량,예년 첫번째 기타 방류량
예년두번째기타방류량,예년 두번째 기타 방류량
예년세번째기타방류량,예년 세번째 기타 방류량
예년배출구방류량,보통의 해의 배출구 방류 량
예년첫번째취수량,예년 첫번째 취수량
예년두번째취수량,예년 두번째 취수량
예년세번째취수량,예년 세번째 취수량
예년첫번째기타유입량,예년 첫번째 기타 유입량
예년두번째기타유입량,예년 두번째 기타 유입량
댐형식명,발전， 수리 따위의 목적으로 강이나 바닷물을 막아 두기 위하여 쌓은 둑의 형식의 명칭
정상표고,특별한 변동이나 탈이 없이 제대로인 상태인 표고 값
댐위도,발전， 수리 따위의 목적으로 강이나 바닷물을 막아 두기 위하여 쌓은 둑의 위도
댐경도,발전， 수리 따위의 목적으로 강이나 바닷물을 막아 두기 위하여 쌓은 둑의 경도
세계측지계Y축좌표값,지구중심좌표계를 사용하여 지구중심에 원점을 둔 타원체상의 좌표계로 세계 공통으로 쓰일 수 있는 좌표계의 Y축 좌표 값
차수구조내용,차수 구조에 대한 내용
차수재료내용,차수 자료에 대한 내용
공급가능수위값,공급 가능한 물의 높이 값
비상용수공급설비용량,비상 용수 공급 설비 용량
설계홍수량,목적에 따라 실제적인 계획을 세운 홍수 량
발전시설용량,발전 시설의 용량
발전방류수위값,발전을 위해 방류한 수위 값
발전최대사용량,발전 최대 사용 량
무피해방류량,손해나 손실이 없는 방류 량
생활산업용수계획량,생활 산업용수의 계획 량
하천유지용수계획량,하천의 유지 용수 계획 량
방수로설계빈도수,하천을 보다 효율적으로 이용하기 위하여 물을 흘려 보내도록 인공적으로 만든 물길의 설계 빈도
방수로설계홍수량,하천을 보다 효율적으로 이용하기 위하여 물을 흘려 보내도록 인공적으로 만든 물길의 설계 홍수량
비상방류설비표고,비상 방류 설비의 바다의 면이나 어떤 지점을 정하여 수직으로 잰 일정한 지대의 높이 값
상시방류설비유입표고,특별한 일이 없는 보통 때 방류 설비의 유입 표고
비상용수공급설비위치명,비상용수 공급 설비의 위치 명
비상용수공급설비관경값,비상용수 공급 설비의 관경 값
진입로여부,진입로의 여부
주차시설여부,주차 시설의 여부
작성직원번호,작성한 직원의 번호
수위방류능력값,강， 바다， 호수， 저수지 따위의 물의 높이의 방류 능력 값
발전방류가능량,발전을 위해 방류 가능한 방류량
계획홍수위기준값,계획된 하천의 수위 중에서 몇 년에 한 번씩 발생할 정도의 홍수 때의 수위 기준 값
실시간연계여부,실시간으로 어떤 일이나 사람과 관련하여 관계를 맺은 여부
강우량자료값,일정 기간 동안 일정한 곳에 내린 비의 분량 자료 값
파일저장여부,정보통신에서 하나의 단위로서 처리되는 서로 관련 있는 레코드의 집합의 저장 여부
지반높이값,지반의 높이 값
세계측지계X축좌표값,지구중심좌표계를 사용하여 지구중심에 원점을 둔 타원체상의 좌표계로 세계 공통으로 쓰일 수 있는 좌표계의 X축 좌표 값
최고표고,가장 높은 표고 값 (단위 EL.m)
최저표고,가장 낮은 표고 값 (단위 EL.m)
구간명,어떤 지점과 다른 지점과의 사이의 명칭
총연장길이값,시간이나 거리따위를 본래보다 길게 늘린 총 길이 값
TM좌표계X축값,국가기본도 기본체계로 하는 평면직각좌표계의 X축 값
TM좌표계Y축값,국가기본도 기본체계로 하는 평면직각좌표계의 Y축 값
지류면적,지류의 면적
소유역면적,유역 환경 조사， 수질 모델링 따위에 필요한 배수 구역 단위를 설정하기 위해 세분한 단위 유역의 면적
소유역거리값,수질 오염 총량 관리 기본 방침에서， 유역 환경 조사， 수질 모델링 따위에 필요한 배수 구역 단위를 설정하기 위해 세분한 단위 유역의 거리 값
변경이전자료내용,변경하기 이전의 자료 내용
변경이후자료내용,변경하기 이후의 자료 내용
관측소일련번호,기상이나 천체를 관측하는 곳의 일련번호
환산유량,어떤 단위나 척도로 된 것을 다른 단위나 척도로 고쳐서 헤아린 유량
자료관측일자,연구나 조사 따위의 바탕이 되는 재료의 관측 일자
자료측정연도,연구나 조사 따위의 바탕이 되는 재료의 측정 연도
일일유량,날마다 유체가 흐르는 양
국립환경과학원관측소영문명,환경정책 수립지원을 위한 조사연구 및 기술개발， 환경에 관한 각종 기준(안) 마련을 위한 연구， 환경 연구에 관한 국내，외 자료관리 및 국제공동연구， 환경관련 교육훈련， 환경기술 연구개발사업 총괄관리 등 환경보전에 관한 연구와 훈련업무를 관장하는 기관 관측소 영문 명
수준거표표고,수준 측량에서， 기준면에서부터 정확하게 표준 높이를 측정한 표지의 표고
하천발원지거리값,하천 발원지 거리 값
하천바닥경사값,강이나 시내의 바닥 경사 값
자동유량여부,자동으로 유량을 측정하는지 여부
관측소폐지내용,기상이나 천체를 관측하는 곳의 폐지 내용
단면일련번호,물체의 잘라낸 면의 일련번호
미터단위수면폭값,미터 단위의 수면 폭 값
유속측선개수,유속 측선의 개수
측정장비명,측정한 장비 명
유량측정방법명,유량 측정 방법명
전체불확도값,측정시 발생할 수 있는 애매함을 모두 고려하여 전체적인 애매함의 정도를 수치로 나타낸 것의 전체 값
날씨설명,그날그날의 비， 구름， 바람， 기온 따위가 나타나는 기상상태 설명
분할지점명,나누어 쪼갠 지점의 이름
기종순서,컴퓨터나 전자 제품 따위의 모델 종류 순서
보정이전강우량자료값,보정 이전의 강우 자료 값
변경이전자료값,변경하기 이전의 자료 값
변경이후자료값,변경하기 이후의 자료 값
상관비율,서로 관계가 있는 비율
계수1값,물질의 특정한 속성 1 값
계수5값,물질의 특정한 속성 5 값
관계식일련번호,두 개 또는 그 이상의 양이나 문자 사이의 관계를 나타내는 식 일련번호
지체시간값,더디게 끌거나 끌리어 나간 시간 값
계수2값,물질의 특정한 속성 2 값
계수3값,물질의 특정한 속성 3 값
계수4값,물질의 특정한 속성 4 값
표준지점번호,사물의 정도나 성격 따위를 알기 위한 근거나 기준 지점의 번호
관측장소위치명,육안이나 기계로 자연 현상 특히 천체나 기상의 상태， 추이， 변화 따위를 관찰하여 측정하는 일을 한 장소 위치 명
관측목적명,육안이나 기계로 자연 현상 특히 천체나 기상의 상태， 추이， 변화 따위를 관찰하여 측정하는 일의 목적 명
표준화공동활용참여여부,사물의 정도， 성격 따위를 알기 위한 근거나 기준을 마련하여 일정한 기준에 따라 통일하는 일의 공동 활용 참여 여부
원시자료값,처음 시작된 그대로 있어 발달하지 아니한 상태의 자료 값
이중화정보일련번호,이중화 정보의 일련번호
보정자료값,보정된 자료 값
상관계수,두 변량 사이의 상관관계의 정도를 나타낸 계수
강수량차이값,비， 눈， 우박， 안개 따위로 일정 기간 동안 일정한 곳에 내린 물의 총량의 차이 값
관측소정보기타내용,관측소 정보에 대한 기타 내용
이미지종류명,이미지 종류의 이름
관측소순서,기상이나 천체를 관측하는 곳의 순서
첫번째인근관측소거리값,첫번째로 가까운 인근 관측소 거리값
두번째인근관측소거리값,두번째로 가까운 인근 관측소 거리값
자료등록일시,연구나 조사 따위의 바탕이 되는 재료의 등록 일시
자동수동여부,자동인지 수동인지 여부
수문방류량,유량 또는 수림 유지를 위하여 수로에 설치하는 개폐용 문의 방류 량
한발빈도값,심한 가뭄 빈도 값
저수지제방구조명,물을 모아 두기 위하여 하천이나 골짜기를 막아 만든 큰 못의 제방 구조 명
저수지제방높이값,물을 모아 두기 위하여 하천이나 골짜기를 막아 만든 큰 못의 제방 높이 값
저수지제방길이값,물을 모아 두기 위하여 하천이나 골짜기를 막아 만든 큰 못의 제방 길이 값
본류명,강이나 내의 원줄기의 명칭
첫번째지류명,첫번째 지류의 명
두번째지류명,두번째 지류 명
세번째지류명,세번째 지류의 명
네번째지류명,네번째 강의 원줄기로 흘러들거나 원줄기에서 갈려 나온 물줄기 명
다섯번째지류명,다섯번째 강의 원줄기로 흘러들거나 원줄기에서 갈려 나온 물줄기 명
여섯번째지류명,여섯번째 지류 명
보단면번호,둑을 쌓아 흐르는 냇물을 막고 그 물을 담아 두는 곳의 단면번호
보정상표고,둑을 쌓아 흐르는 냇물을 막고 그 물을 담아 두는 곳의 정상 표고 값
보길이값,둑을 쌓아 흐르는 냇물을 막고 그 물을 담아 두는 곳의 길이 값
발전방류유량변수값,발전방류 유량 변수의 값
전도식가동보높이값,수문의 하단부를 중심으로하여 수문의 상단이 후방으로 전도되는 가동보의 높이 값
전도식가동보길이값,수문의 하단부를 중심으로하여 수문의 상단이 후방으로 전도되는 가동보의 길이 값
전도식가동보유량계수,수문의 하단부를 중심으로하여 수문의 상단이 후방으로 전도되는 가동보의 유량 계수
출입구흐름배출계수면적,게이트 흐름에 대한 배출계수와 게이트 면적
보수문개수,보의 수문개수
수문바닥표고,유량 또는 수림 유지를 위하여 수로에 설치하는 개폐용 문의 바닥 표고
수문폭값,유량 또는 수림 유지를 위하여 수로에 설치하는 개폐용 문의 폭 값
수문개방가능보폭값,수문 개방가능한 보의 폭
단면번호,물체의 잘라낸 면의 번호
조도계수최저값,조도계수의 최저 값
조도계수최대값,조도계수의 최대 값
발전방류유량,발전 방류의 유량
평균가동보수문개방높이값,둑을 쌓아 흐르는 냇물을 막고 그 물을 담아 두는 곳의 평균 수문 개방 높이
영점표고,어떤 기준면에서부터 양수표 0점까지 이르는 높이 값
조위값,조수의 흐름에 따라 변화하는 해수면의 높이 값
계산순서,식을 연산하여 수치를 구하여 내는 일의 순서
하도길이값,강이나 시내가 흐르는 길의 길이 값
홍수추적구간비율,비가 많이 와서 강이나 개천에 갑자기 크게 불은 물의 추적 구간 비율
유출량배분비율,유출량을 몫몫이 별러 나눈 비율
관계식내용,두 개 또는 그 이상의 양이나 문자 사이의 관계를 나타내는 식 내용
수위자료하한값,강， 바다， 호수， 저수지 따위의 물 높이의 자료 하한 값
수위자료상한값,강， 바다， 호수， 저수지 따위의 물 높이의 자료 상한 값
저수지용량재계산실시여부,수위-저수량 환산 곡선식을 이용하여 저수지 용량 재계산 실시 여부
모형설명,실물의 입체적인 특성을 명시하기 위해 본떠서 만든 것의 설명
패턴번호,일정한 형태나 유형이나 양식 번호
강우일련번호,비가 내린 일련번호
홍수사상계산시작일시,한 번 일어난 홍수에 따르는， 하천 유역의 수문학적， 수리학적 현상을 계산하기 시작한 일시
홍수사상계산종료일시,한 번 일어난 홍수에 따르는， 하천 유역의 수문학적， 수리학적 현상을 계산하기를 종료한 일시
레이더강우량사용여부,레이더 강우량을 사용할지 여부
예측강우량사용여부,예측 강우량 사용 여부
강우시작일시,비가 내린 시작 날짜와 시간 (형태 : YYYYMMDDHHMI)
강우종료일시,비가 그친 날짜와 시간 (형태 : YYYYMMDDHHMI)
시간간격값,어떤 시각과 시각과의 사이의 간격 값
단면거리값,단면 거리의 값
유역내부하천면적,유역 내부의 하천 면적
유역내부하천길이값,유역 내부의 하천 길이 값
유역내부하천경사값,유역 내부의 하천 경사 값
그룹일련번호,함께 행동하거나 공통점이 있어 한데 묶일 수 있는 사람들이나 사물의 무리 일련번호
전송문구일련번호,통신회선을 이용하여 보낸 문구의 일련번호
긴급재난메시지내용,어떤 사실을 알리거나 주장하거나 경고하려고 전하는 말의 내용
최저수위값,강， 바다， 호수， 저수지 따위의 물의 높이의 최저 값
염분농도값,염분의 농도 값
대기혼탁도척도값,대기의 혼탁도를 나타내는 척도 값
유의파고값,일정한 시간 동안 관측한 파고 자료 가운데 높은 파고로부터 전체의 1/3 이내에 있는 파도에 대한 평균 파고의 값
유의파주기값,유의 파주기의 값
최대파고값,물결의 높이의 최대 값
최대파주기값,어느 통계 기간 내에 관측된 유의파의 최댓값의 주기 값
해수면고도,해수면의 고도
최고수위자료값,최고 수위 자료의 값
최저수위자료값,최저 수위 자료의 값
수위자료간격값,강， 바다， 호수， 저수지 따위의 물 높이의 변화 값
첫번째비고,첫번째 비고
두번째비고,두번째 비고
세번째비고,세번째 비고
네번째비고,네번째 비고
목록명,어떤 물품의 이름이나 책 제목 따위를 일정한 순서로 적은 것의 명칭
경고시작수위값,경고가 시작되는 강， 바다， 호수， 저수지 따위의 물의 높이 값
점멸상승량,점멸 상승 양
지정수위값,지정한 수위 값
자동유량측정기여부,자동 유량 측정기가 있는지 여부
관심수위량,관심 수위량
심각수위값,심각 수위 값
단위기간최고수위값,일정기간에 관측한 물의 높이 중에서 최고 수치에 해당하는 물 높이
단위기간최고수위일자,일정기간에 관측한 물의 높이 중에서 최고 수치에 해당하는 물 높이에 대해 해당되는 년월일
자동유량측정시작일자,자동으로 유량을 측정하는 것을 시작하는 날짜
둔치좌측높이값,둔치의 좌측높이 값
둔치우측높이값,둔치의 우측높이 값
관측지점번호,관측된 지점의 번호
관측위치경도,육안이나 기계로 자연 현상 특히 천체나 기상의 상태， 추이， 변화 따위를 관찰하여 측정한 위치 경도
관측소전화번호,관측소의 전화번호
관공서성격내용,관공서 성격에 대한 내용
보월류유량계수,보 월류의 유량계수
대권역코드,대권역 코드
중권역코드,중권역 코드
표준유역코드,표준 유역 코드
코드약어명,정보를 나타내기 위한 기호 체계의 약어 명
대상건수,어떤 일의 상대 또는 목표나 목적이 되는 건수
저수위값,하천의 물이 가장 낮아질 때의 수위 값
수로연장값,물이 흐르거나 물을 보내는 통로의 연장 값
내부수위값,내부 강， 바다， 호수， 저수지 따위의 물의 높이
펌프가동여부,압력 작용으로 액체·기체를 빨아올리거나 이동시키는 기계 가동 여부
펌프명,압력 작용으로 액체·기체를 빨아올리거나 이동시키는 기계 명
하수도배관지름값,하수도 배관의 지름 값
일조량,햇볕이 내리쬔 양
평균온도값,따뜻함과 차가움의 정도의 평균 값
소분류메뉴일련번호,작게 나누어 가름 메뉴의 일련번호
수위영점표고,강， 바다， 호수， 저수지 따위의 물의 높이 영점 표고 값
조사기관명,사물의 내용을 명확히 알기 위하여 자세히 살펴보거나 찾아본 기관 명
기상청표준위치번호,기상청의 표준 위치 번호
최근실측일시,얼마 되지 않은 지나간 날부터 현재 또는 바로 직전까지의 날짜와 시간 (형태 : YYYYMMDDHHMI)
가동보폭값,가동중인 논에 물을 대기 위한 수리 시설의 폭 값
하한조도계수,조도계수의 하한 값
상한조도계수,흐르는 물에 접하는 수로 벽면의 거친 정도를 나타내는 계수의 상한
하류수위유량,강이나 내의 아래쪽 부분 수위 유량
하도연장값,강이나 시내가 흐르는 길 연장 값
댐수위값,발전， 수리 따위의 목적으로 강이나 바닷물을 막아 두기 위하여 쌓은 둑 수위 값
홍수기종료일시,홍수기의 종료 날짜와 시간 (형태 : YYYYMMDDHHMI)
홍수기시작일시,홍수기의 시작 날짜와 시간 (형태 : YYYYMMDDHHMI)
하천경사값,강이나 시내의 경사 값
하천길이값,강이나 시내의 길이 값
정보통신실명,정보 통신실 명
작업자명,일을 하는 사람 명
상한수위값,강， 바다， 호수， 저수지 따위의 물의 높이의 상한 값
하한수위값,강이나 시내의 수위 값
하한저수용량,물을 인공적으로 모은 하한 용량
어도사용수량,물고기가 하류에서 상류로 올라갈 수 있도록 만든 구조물의 사용 수량
상한영점표고,어떤 기준면에서부터 양수표 0점까지 이르는 높이의 상한 값
하한영점표고,어떤 기준면에서부터 양수표 0점까지 이르는 높이의 하한 값
코드생성일자,정보를 나타내기 위한 기호 체계의 생성 일자
하류경사값,강이나 내의 아래쪽 부분 경사 값
작업일시,일정한 목적과 계획 아래 하는 일의 날짜와 시간 (형태 : YYYYMMDDHHMISS)
강우내용,비가 내린 내용
발표일련번호,어떤 사실이나 결과， 작품 등을 세상에 널리 드러내어 알림의 일련번호
발표일시,어떤 사실이나 결과， 작품 등을 세상에 널리 드러내어 알린 날짜와 시간 (형태 : YYYYMMDDHHMI)
예비특보발효내용,에비로 특보를 발효한 내용
특보발효내용,특별한 보도의 발효 내용
특보발효일시,특별한 보도의 발효 날짜와 시간 (형태 : YYYYMMDDHHMI)
특보내용,특별히 보도한 내용
특보명,특별한 보도의 명
태풍중심최대풍속값,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 중심 최대 풍속 값
태풍중심기압값,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 중심 기압 값
태풍속도값,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 속도 값
태풍방향값,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 방향 값
태풍위도,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 위도
태풍일시,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 날짜와 시간 (형태 : YYYYMMDDHHMI)
태풍영문명,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 영문 명
태풍국문명,북태평양 남서부에서 발생하여 아시아 대륙 동부로 불어오는， 폭풍우를 수반한 맹렬한 열대 저기압 국문 명
연도별태풍번호,연도 마다의 태풍 번호
예비특보현황내용,에비 특보의 형황 내용
예년최저수위값,보통의 해의 최저 수위 값
자료개수수집사용여부,자료 개수를 수집하는지의 사용 여부
체적값,입체가 공간 속에서 차지하는 크기 값
정상표고값,특별한 변동이나 탈이 없이 제대로인 상태의 표고 값
사수위용량,유사의 퇴적으로 인하여 저수 기능이 상실되는 상한 표고 용량
사수위값,유사의 퇴적으로 인하여 저수 기능이 상실되는 상한 표고 값
비상방류설비관로규모값,비상 방류 설비의 관로 규모 값
상시방류설비관로규모값,상시 방류 설비의 관로 규모 값
비상용수공급설비설치방법내용,비상용수 공급 설비의 설치 방법 내용
제한수위기준값,일정한 한도를 정하거나 그 한도를 넘지 못하게 막은 수위 기준 값
유효용량기준값,유효 용량 기준 값
홍수용량기준값,비가 많이 와서 강이나 개천에 갑자기 크게 불은 물의 용량 기준 값
강우분포일련번호,강우 분포 일련번호
강우분포비율,비가 내린 분포 비율
침수측정X축좌표값,침수를 측정하는 X축 좌표 값
침수측정Y축좌표값,침수를 측정하는 Y축 좌표 값
침수측정표고,물에 잠김을 측정하는 표고
줌레벨값,초점 거리나 화상의 크기를 급격히 변화시키는 기능.또는 그런 촬영 기법의 레벨 값
RDS비율,RDS 가중평균방법의 비율
베셀함수경도,베셀함수 값으로 나타낸 지구 위의 위치를 나타내는 세로 좌표축 값
베셀함수위도,베셀함수 값으로 나타낸 지구 위의 위치를 나타내는 가로 좌표축 값
수혜면적값,장마나 홍수로 인한 피해를 입은 면적 값
평균이동수문개구부높이값,평균 이동식 수문의 개구부 높이 값
하도구분여부,강이나 시내가 흐르는 길의 구분 여부
실측대체여부,실지로 측량한 대체 여부
월류부분표고,물 따위가 넘쳐서 흐르는 부분의 표고 값
월류부분길이값,물 따위가 넘쳐서 흐르는 부분의 길이 값
보조월류부분표고,보조 월류부 부분의 표고
보조월류부분길이값,보조 월류부 부분의 길이 값
홍수사상일시,한 번 일어난 홍수에 따르는， 하천 유역의 수문학적， 수리학적 현상의 일시
유역내부하천면적값,유역 내부의 하천 면적 값
1회차예측강수량,1회차의 예측 강수량
2회차예측강수량,2회차의 예측 강수량
3회차예측강수량,3회차의 예측 강수량
4회차예측강수량,4회차의 예측 강수량
5회차예측강수량,5회차의 예측 강수량
6회차예측강수량,6회차의 예측 강수량
7회차예측강수량,7회차의 예측 강수량
8회차예측강수량,8회차의 예측 강수량
9회차예측강수량,9회차의 예측 강수량
10회차예측강수량,10회차의 예측 강수량
11회차예측강수량,11회차의 예측 강수량
12회차예측강수량,12회차의 예측 강수량
13회차예측강수량,13회차의 예측 강수량
14회차예측강수량,14회차의 예측 강수량
15회차예측강수량,15회차의 예측 강수량
16회차예측강수량,16회차의 예측 강수량
17회차예측강수량,17회차의 예측 강수량
18회차예측강수량,18회차의 예측 강수량
19회차예측강수량,19회차의 예측 강수량
20회차예측강수량,20회차의 예측 강수량
21회차예측강수량,21회차의 예측 강수량
22회차예측강수량,22회차의 예측 강수량
23회차예측강수량,23회차의 예측 강수량
24회차예측강수량,24회차의 예측 강수량
25회차예측강수량,25회차의 예측 강수량
26회차예측강수량,26회차의 예측 강수량
27회차예측강수량,27회차의 예측 강수량
28회차예측강수량,28회차의 예측 강수량
29회차예측강수량,29회차의 예측 강수량
30회차예측강수량,30회차의 예측 강수량
31회차예측강수량,31회차의 예측 강수량
32회차예측강수량,32회차의 예측 강수량
33회차예측강수량,33회차의 예측 강수량
34회차예측강수량,34회차의 예측 강수량
35회차예측강수량,35회차의 예측 강수량
36회차예측강수량,36회차의 예측 강수량
24시간풍속합계값,24시간 동안 측정한 풍속의 합계 값
최대깊이신적설값,수나 양， 정도 따위가 가장 큼 신적설 깊이 값
최대깊이신적설시분,수나 양， 정도 따위가 가장 큼 신적설 깊이 시분
소형증발값,소형으로 액체의 표면에서 일어나는 기화현상 값
대형증발값,대량의 액체의 표면에서 일어나는 기화현상 값
안개지속시간값,지표면 가까이에 아주 작은 물방울이 부옇게 떠 있는 현상의 지속 시간 값
일조합계값,햇볕이 내리쬘 때의 세기 합계 값
일사합계값,태양의 복사 에너지가 땅에 닿았을 때의 세기 합계 값
1시간최대일사량,1시간동안 측정한 태양의 복사 에너지가 땅에 닿았을 때의 최대 세기 량
1시간최대일사시분,1시간동안 측정한 태양의 복사 에너지가 땅에 닿았을 때의 최대 세기일 때의 시분
1회차기상현상값,1회차 기상 현상의 값
2회차기상현상값,2회차의 예측 강수량
3회차기상현상값,3회차의 기상 현상 값
4회차기상현상값,4회차의 예측 강수량
5회차기상현상값,5회차의 기상 현상 값
6회차기상현상값,6회차의 기상 현상 값
7회차기상현상값,7회차의 기상 현상 값
8회차기상현상값,8회차의 기상 현상 값
9회차기상현상값,9회차의 기상 현상 값
10회차기상현상값,10회차 기상현상의 값
11회차기상현상값,11회차의 예측 강수량
12회차기상현상값,12회차의 예측 강수량
일평균대기오염척도값,일 평균 대기 오염 척도 값
일평균0.05M온도값,일 평균 0.05미터 지하 온도 값
일평균0.1M온도값,일 평균 0.1미터 지하 온도 값
일평균0.2M온도값,일 평균 0.2미터 지하 온도 값
일평균0.3M온도값,일 평균 0.3미터 지하 온도 값
0.5M철관지중온도값,0.5미터 깊이에 설치된 철관 내부의 온도 값
1M철관지중온도값,1미터 깊이에 설치된 철관 내부의 온도 값
1.5M철관지중온도값,1.5미터 깊이에 설치된 철관 내부의 온도 값
3M철관지중온도값,3미터 깊이에 설치된 철관 내부의 온도 값
5M철관지중온도값,5미터 깊이에 설치된 철관 내부의 온도 값
관측위치번호,육안이나 기계로 자연 현상 특히 천체나 기상의 상태， 추이， 변화 따위를 관찰하여 측정하는 일을 한 위치 번호
8시수위값,8시에 측정한 강， 바다， 호수， 저수지 따위의 물의 높이 (단위:cm)
20시수위값,20시에 측정한 강， 바다， 호수， 저수지 따위의 물의 높이 (단위:cm)
일평균수위값,하루 동안의 평균 수위 값 (단위:cm)
일일최대수위값,하루 동안의 최대 수위 값 (단위 : cm)
최저초상기온값,풀이 나 있는 땅의 최저 기온 값
특별지정알람기준수위값,특별지정 알람의 기준이 되는 수위 값
주의보알람기준수위값,주의보 알림의 기준이 되는 수위 값
경보수위알람기준값,경보 수위 알람이 울리는 기준 값
기울기1값,기울기 1 값
기울기2값,기울기 2 값
설정초과수위값,설정 초과 수위 값
최고수위자료일자,가장 높은 수위가 기록된 자료의 일자
최저수위자료일자,강， 바다， 호수， 저수지 따위의 물의 높이의 최저값이 기록된 자료의 일자
수위관측소코드,수위 관측소 코드
강수량관측소코드,강수량 관측소 코드
통제소구분코드,통제소 구분 코드
관측기종코드,관측 기종 코드
설치승인조건내용,설치 승인의 조건에 대한 내용
수입예정시점내용,수입이 예정되는 시점의 일자 또는 월도에 대한 내용
수출자사업장주소,국내의 상품이나 기술을 외국으로 팔아 내보내는 사람의 사업장 주소
승인기간시작일자,어떤 사실을 마땅하다고 받아들인 기간의 시작날짜
청구반환사유내용,청구 반환 사유에 대한 설명
피승계인상세주소,다른 사람에게 권리와 의무를 주는 사람의 상세주소
변경후사업식별내용,변경후 개발사업 사업명 및 사업종류에 대한 내용
변경후사업자등록번호,변경하고 난 후의 사업자등록번호
납세의무자화주우편번호,세법에 따라 국가나 지방 자치 단체에 세금을 낼 의무가 있는 개인 또는 법인의 화주 우편번호
사육시설소재지전화번호,어린 가축이나 짐슴이 자라도록 먹이어 기르는 시설의 소재지 전화번호
신청시설소재지전화번호,폐기물 처분시설 또는 재활용시설 소재지의 전화번호
변경전대표자주민등록번호,다르게 바꾸어 새롭게 고치기 전의 대표자 주민등록번호
선하증권항공화물운송장번호,선하증권의 항공화물운송장 번호
올바로파일수신처리상세일련번호,올바로 시스템의 파일 수신처리의 상세 일련번호
공사중주요관리대상비점오염물질내용,공사중 주요관리대상의 비점오염물질에 대한 내용
APIID,응용프로그램 인터페이스의 ID
결재대기자ID,결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인을 대기하는 사람의 ID
접수담당자ID,신청이나 신고 따위를 구두나 문서로 받는 담당자의 ID
